Year,Author,Fo,peak,name,celsius,GPa ,hours,fO2Buffer,logf02,orientation,log10D,Experiment,mechanism,polarized IR
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,c,-11.656,dehydration,[Si],
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,a,-10.73,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,b,-12.09,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,c,-11.68,dehydration,pv,
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,a,-11.028,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,b,-12.3567,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,c,-11.728,dehydration,[tri],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,a,-11.028,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,b,-12.3567,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,c,-11.728,dehydration,[Ti],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,a,-10.607,dehydration,[Si],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,b,-11.974,dehydration,[Si],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,6,Ni-NiO-2.8,-16.75,c,-11.656,dehydration,[Si],
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,a,-10.73,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,b,-12.09,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,c,-11.68,dehydration,pv,
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,a,-11.028,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,b,-12.3567,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,c,-11.728,dehydration,[tri],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,a,-10.8097,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,b,-12.162,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,c,-11.698,dehydration,[Ti],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,a,-10.607,dehydration,[Si],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,b,-11.974,dehydration,[Si],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,7,Ni-NiO-2.8,-16.75,c,-11.656,dehydration,[Si],
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,a,-10.73,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,b,-12.09,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,c,-11.68,dehydration,pv,
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,a,-11.028,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,b,-12.3567,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,c,-11.728,dehydration,[tri],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,a,-10.8097,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,b,-12.162,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,c,-11.698,dehydration,[Ti],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,a,-10.607,dehydration,[Si],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,b,-11.974,dehydration,[Si],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,8,Ni-NiO+1.9,-12,c,-11.656,dehydration,[Si],
